num_of_li,poly_anion,chalcogen,anion_1,anion_2,x_in_a,chal_in_a,x_in_c,chal_in_c,energy(ev),erel(mev/atom),cage_size_x_in_a,cage_size_chal_in_a,cage_size_x_in_c,cage_size_chal_in_c,std_cage_size,avg_cage_size,volume,conductivity,conductivity_min,conductivity_max
24,P,Te,Te,Br,1,0,0,1,-170.094,70.36462692,2.857481464,2.857481464,2.805443624,2.805443624,0.047044572,2.831462544,1626.21175,72.535476,45.313786,116.110256
24,P,Te,Te,Br,0.75,0.25,0.25,0.75,-173.753,0,2.856987577,2.984879298,2.630548765,2.842124901,0.138414421,2.828635135,1588.348094,166.023829,92.497329,297.996838
24,P,Te,Te,Br,0.5,0.5,0.5,0.5,-173.03,13.91156731,2.827102274,2.905769844,2.778769084,2.862027431,0.091540253,2.843417158,1614.307261,518.590725,307.632354,874.213445
24,P,Te,Te,Br,0.5,0.5,0.5,0.5,-173.536,4.163184615,2.807420028,2.998072722,2.800982575,2.803688502,0.101038634,2.852540957,1522.146167,55.298032,28.131268,108.700125
24,P,Te,Te,Br,0.25,0.75,0.75,0.25,-172.911,16.19698269,2.667878652,2.842302293,2.746877904,2.936124545,0.109450388,2.798295848,1502.85069,72.311064,26.880566,194.523058
24,P,Te,Te,Br,0,1,1,0,-166.248,144.3266788,2.855320438,2.855320438,2.788203258,2.788203258,0.044178352,2.821761848,1534.903749,107.726495,57.043587,203.440885
24,Sb,Te,Te,Br,1,0,0,1,-166.079,84.18628269,2.889025699,2.889025699,2.871657708,2.871657708,0.043643638,2.880341703,1764.688052,66.509323,21.361501,207.077673
24,Sb,Te,Te,Br,0.75,0.25,0.25,0.75,-170.457,0,2.816468565,3.071667242,2.754862471,2.829070303,0.132422074,2.868017145,1795.992477,22.770009,5.741119,90.308764
24,Sb,Te,Te,Br,0.5,0.5,0.5,0.5,-167.811,50.87459615,2.737477513,2.96474311,2.727648224,2.847931114,0.099489392,2.81944999,1835.284808,18.37934,9.557974,35.342231
24,Sb,Te,Te,Br,0.5,0.5,0.5,0.5,-166.42,77.63418654,2.678322965,2.956476369,2.732293582,2.926787732,0.122692113,2.823470162,1764.309359,44.504845,29.781598,66.50688
24,Sb,Te,Te,Br,0.25,0.75,0.75,0.25,-169.2,24.15929423,2.971184505,2.881199256,2.782555922,2.849685411,0.09226121,2.871156274,1704.735266,96.80841,63.407319,147.804202
24,Sb,Te,Te,Br,0,1,1,0,-161.413,173.9118288,2.926189639,2.926189639,2.733241291,2.733241291,0.096474174,2.829715465,1692.871204,93.015035,66.990464,129.149677
24,Sb,Se,Se,Cl,1,0,0,1,-186.974,41.68601731,2.876744695,2.876744695,2.625354714,2.625354714,0.12569499,2.751049705,1393.092634,37.40758,15.261291,91.691263
24,Sb,Se,Se,Cl,0.75,0.25,0.25,0.75,-188.796,6.652113462,2.756154041,2.973835193,2.906225954,2.626108617,0.112811861,2.815580951,1436.659415,0.570804,0.390879,0.833548
24,Sb,Se,Se,Cl,0.5,0.5,0.5,0.5,-186.301,54.63485769,2.729217996,2.778801223,2.552181278,2.628870485,0.094992029,2.672267745,1401.356309,4.239295,2.1963,8.18268
24,Sb,Se,Se,Cl,0.5,0.5,0.5,0.5,-188.224,17.64868462,2.661368401,2.777998349,2.620116042,2.673544277,0.073276552,2.683256768,1374.031063,27.02173,12.898766,56.608046
24,Sb,Se,Se,Cl,0.25,0.75,0.75,0.25,-189.142,0,2.72231346,2.668889287,2.748233178,2.681979335,0.044652227,2.705353815,1352.681414,18.554526,5.558702,61.933606
24,Sb,Se,Se,Cl,0,1,1,0,-180.641,163.4761096,2.589426757,2.589426757,2.673001206,2.673001206,0.057135894,2.631213982,1355.386032,105.57185,66.091933,168.635035
24,P,Se,Se,Cl,1,0,0,1,-193.202,43.72949808,2.89357929,2.89357929,2.56798831,2.56798831,0.16279549,2.7307838,1282.422212,0.803,0.514884,1.252339
24,P,Se,Se,Cl,0.75,0.25,0.25,0.75,-195.476,0,2.744240522,2.823427868,2.478470451,2.62605525,0.153035803,2.668048523,1236.656364,105.776408,74.535628,150.111414
24,P,Se,Se,Cl,0.5,0.5,0.5,0.5,-195.198,5.357986538,2.575321365,2.713477449,2.622632503,2.72032125,0.070924266,2.657938142,1262.776426,227.14043,169.263776,304.806948
24,P,Se,Se,Cl,0.5,0.5,0.5,0.5,-195.032,8.544705769,2.65461459,2.666600362,2.610007262,2.654884019,0.081148682,2.646526558,1175.755694,51.564275,38.967683,68.232807
24,P,Se,Se,Cl,0.25,0.75,0.75,0.25,-195.227,4.782453846,2.619974496,2.646212078,2.70863283,2.651902198,0.088749659,2.6566804,1204.459348,48.722685,34.440997,68.926576
24,P,Se,Se,Cl,0,1,1,0,-186.746,167.8849635,2.579753592,2.579753592,2.761363196,2.761363196,0.090804802,2.670558394,1233.573913,1.249801,0.631086,2.475104
24,P,Se,Se,Br,1,0,0,1,-192.07,21.26469615,2.962002503,2.962002503,2.590267627,2.590267627,0.185867438,2.776135065,1281.178615,0.115841,0.047833,0.280543
24,P,Se,Se,Br,0.75,0.25,0.25,0.75,-193.12,1.064157692,2.85252663,2.820728087,2.616011279,2.616469789,0.111521075,2.726433946,1263.932179,14.526055,9.701871,21.749031
24,P,Se,Se,Br,0.5,0.5,0.5,0.5,-192.707,9.017715385,2.862369649,2.617096058,2.8122596,2.629285591,0.111426414,2.730252724,1287.7944,55.938126,37.923745,82.509624
24,P,Se,Se,Br,0.5,0.5,0.5,0.5,-193.175,0,2.689953317,2.64502454,2.792108368,2.606428858,0.077628757,2.683378771,1212.268521,27.172109,20.733426,35.610299
24,P,Se,Se,Br,0.25,0.75,0.75,0.25,-192.744,8.291619231,2.53205965,2.589255143,2.800031923,2.63126774,0.113587242,2.638153614,1217.175318,70.881299,51.634652,97.302069
24,P,Se,Se,Br,0,1,1,0,-183.746,181.3399827,2.567370559,2.567370559,2.858789465,2.858789465,0.145709453,2.713080012,1281.627747,1.925643,1.687264,2.197702
24,P,Te,Te,Cl,1,0,0,1,-171.183,104.4539096,2.638737022,2.638737022,2.805166548,2.805166548,0.083214763,2.721951785,1652.284267,17.965817,6.824721,47.294326
24,P,Te,Te,Cl,0.75,0.25,0.25,0.75,-176.614,0,2.579967564,2.967854098,2.566336305,2.796864668,0.17243601,2.727755659,1622.274488,140.867979,29.344136,676.243712
24,P,Te,Te,Cl,0.5,0.5,0.5,0.5,-172.228,84.36010385,2.71881413,2.892205637,2.609527769,2.784170285,0.113223734,2.751179455,1589.364353,125.315891,30.657572,512.241246
24,P,Te,Te,Cl,0.5,0.5,0.5,0.5,-174.628,38.19485962,2.54249694,3.120807908,2.586480262,2.828767241,0.233742926,2.769638088,1526.707805,43.642198,14.580263,130.631488
24,P,Te,Te,Cl,0.25,0.75,0.75,0.25,-175.949,12.79025769,2.533566859,2.927229113,2.634482718,2.86896375,0.177640548,2.74106061,1485.67575,61.465174,41.57272,90.876123
24,P,Te,Te,Cl,0,1,1,0,-169.071,145.0683115,2.916150496,2.916150496,2.650203984,2.650203984,0.132973256,2.78317724,1502.685204,228.411743,106.842447,488.30709
24,P,S,S,Cl,1,0,0,1,-213.773172,22.78,2.910578024,2.910578024,2.405665621,2.405665621,0.252456201,2.658121822,1086.215442,0.02,0.004,0.07
24,P,S,S,Cl,0.75,0.25,0.25,0.75,-214.768332,3.643,2.821546953,2.584880832,2.578470148,2.464845513,0.131716064,2.612435861,1072.895786,44.768155,34.840162,57.525213
24,P,S,S,Cl,0.5,0.5,0.5,0.5,-214.957757,0,2.749837708,2.622837315,2.584549436,2.553644657,0.088373101,2.627717279,1090.162018,114.672705,92.394811,142.322163
